rank,title,author,open_library_id,vote_count,blurb
1,Middlemarch,George Eliot,OL40545731W,56,"Following the lives and loves of the inhabitants of a provincial English town in the middle of the 19th century, Eliot’s sixth novel is widely recognised as her masterpiece. Though she originally planned to write two separate books, Eliot merged them to create an intricately patterned epic that explores work and marriage, ambition and creativity, selfishness and community spirit against a background of political, social and technological change. An immediate bestseller, it has shaped literature in English ever since; few will be surprised to see it at the top of our list. As Emily Dickinson wrote: “What do I think of Middlemarch? What do I think of glory?”"
2,Beloved,Toni Morrison,OL50548W,43,"Winner of the Pulitzer prize for fiction, Morrison’s devastating account of formerly enslaved people after the American civil war was loosely based on the life of Margaret Garner, who killed her own daughter to spare her from being forced back into slavery. The novelist described Beloved as a story about “the pitched battle between remembering and forgetting”. This uncanny, literally haunted portrait of both physical and psychological violence remains one of the most banned and challenged books in American libraries, and one of the most cherished. In 1993, Morrison became the first Black woman to be awarded the Nobel prize in literature."
3,Ulysses,James Joyce,OL86318W,36,"The modernist behemoth that mapped one day in Dublin – 16 June 1904 – and changed literature for ever. Originally conceived as a short story for his collection Dubliners, written over a seven-year period and banned in the US and the UK for obscenity before it was even published as a complete book, Joyce’s sprawling, stream-of-consciousness take on Homer’s Odyssey is one of the most challenging and rewarding novels written in English."
4,To the Lighthouse,Virginia Woolf,OL39396W,31,"Woolf’s fifth novel is set mainly across two days, 10 years apart – either side of the first world war – and slips between the perspectives of the Ramsay family and their guests at their summer house on the Isle of Skye, drawing on the writer’s memories of childhood holidays at Talland House in St Ives, Cornwall. Woolf herself described it as “easily the best” of her books. Her sister, the artist Vanessa Bell, designed the original dust jacket."
5,In Search of Lost Time,Marcel Proust,OL1190289W,27,"First translated into English in 1922, Proust’s seven-volume Parisian epic holds the world record for longest novel. Used today to describe how a sensory experience can trigger involuntary memories, the term “madeleine effect” (or “Proustian rush”) originates from a scene in the first few pages where the world-weary narrator dips a small cake in lime-blossom tea and is transported back to his childhood."
6,Anna Karenina,Leo Tolstoy,OL267096W,26,"The tale of a doomed love affair between Anna, wife of Karenin, and Count Vronsky, Tolstoy’s first “true novel”, as he saw it, was serialised over two years before being published to a mixed reception. While Tolstoy himself found the novel to be “beastly”, readers ever since have been drawn in by the depth of emotion and the breadth of his depiction of Russian society; William Faulkner declared it the greatest novel ever written."
7,War and Peace,Leo Tolstoy,OL36765642W,20,"Combining love, tragedy, philosophy and a history of the Napoleonic wars, Tolstoy claimed his four-volume epic was “not a novel”; Dostoevsky disagreed, describing it as the masterpiece of Russian literature. Though the first part of the work was serialised in the Russian Messenger in 1865, earlier versions are thought to date back to 1856, and Tolstoy is said to have redrafted it as many as 20 times."
8,Jane Eyre,Charlotte Brontë,OL1095427W,21,"The tale of poor governess Jane, her unlikely love affair with Mr Rochester, and the madwoman in his attic was a bestseller on publication. (Her sister Emily’s novel Wuthering Heights came out two months later.) Published under the pen name Currer Bell, its innovative first-person narrative, gothic and erotic themes thrilled contemporary readers."
9,Pride and Prejudice,Jane Austen,OL66554W,20,"Austen’s second published novel gave us Lizzy Bennet, Mr Darcy – and arguably the original romantic comedy. The ironic humour, the lovable Bennet clan and the brooding, arrogant Darcy have inspired ardent fans ever since, with popular adaptations ranging from the classic 90s TV drama to the Keira Knightley film, and of course the inspiration for Mark Darcy in Helen Fielding’s Bridget Jones series."
10,Madame Bovary,Gustave Flaubert,OL893707W,19,"A devastating cautionary tale about the dangers of fantasy, snobbery and romantic yearning, the story of frustrated doctor’s wife Emma Bovary transformed the novel with its meticulous rendering of small-town life in mid-19th-century France. Scholars note that there is no record of Flaubert ever saying “Madame Bovary, c’est moi”, the quote often attributed to him as evidence for the ultimately autobiographical nature of all fiction."
11,The Great Gatsby,F Scott Fitzgerald,OL468431W,20,"This lushly written tragedy of corruption among the “careless people” revelling in jazz-age hedonism didn’t become a hit until the second world war, when free copies were distributed to US soldiers. It captures the hollowness at the heart of the American dream, through an outsider’s view of the elite."
12,Bleak House,Charles Dickens,OL14868510W,19,"The saga of Jarndyce and Jarndyce, a legal case over conflicting wills that swallows all it encounters, is a towering portrait of foggy, fantastical London. Widely seen as Dickens’s finest achievement, it features one of literature’s most controversial deaths (Mr Krook, by spontaneous combustion)."
13,Emma,Jane Austen,OL66513W,18,"In Emma, the novelist famously set out to create “a heroine whom no one but myself will much like”. As her privileged, overconfident protagonist meddles and matchmakes her way towards self-knowledge, Austen’s perfectly plotted tale interrogates wealth, class and social power through the study of her ideal subject: “three or four families in a country village”. The last novel published in Austen’s lifetime, it was adapted into 1995 Hollywood high-school comedy Clueless, starring Alicia Silverstone and Paul Rudd."
14,Mrs Dalloway,Virginia Woolf,OL39349W,18,"Past loves and paths not taken intrude on Clarissa Dalloway’s meticulous preparations for a society party in this dazzling stream-of-consciousness novel, set on an ordinary June day in 1920s London. Woolf’s ahead-of-their-time themes include same-sex desire (Sally, a youthful crush of Clarissa’s, turns up at the party as a married mother of five) and PTSD (Septimus, a veteran of the first world war, spirals towards madness)."
15,Moby-Dick,Herman Melville,OL26158026W,18,"The great American epic of obsession, set aboard the whaling ship Pequod, in which Captain Ahab is determined to hunt down the eponymous cetacean that bit off his leg (and left him with a whale jawbone as a prosthesis). Rich in symbolism, intellectual digression, cosmic complexity and bloodcurdling action alike, its greatness was appreciated only after Melville’s death; 80 years later, first mate Starbuck gave his name to a coffee chain."
16,Nineteen Eighty-Four,George Orwell,OL1168083W,19,"Arguably no novel has as much relevance to contemporary global politics as the final complete book by the author of Animal Farm, with “Orwellian” now regularly applied to governments seen to be taking a leaf from the playbook of Big Brother and the Party, the rulers of the dystopian autocratic state depicted in the novel. Orwell wrote the book while seriously ill with tuberculosis, from which he died in 1950."
17,One Hundred Years of Solitude,Gabriel García Márquez,OL274505W,18,"Colonialism and civil war, clouds of yellow butterflies, levitating priests and a plague of insomnia … Inspired by his childhood home in Aracataca, Colombia, and his grandparents’ stories, García Márquez’s magical realist masterpiece was written over an intense 18-month period, the novelist chain-smoking 60 cigarettes a day as he set down the funny, tragic, political history of a fictional Caribbean town called Macondo. Following the Buendía family over seven generations, this landmark of Latin American literature would go on to sell more than 50m copies around the world. García Márquez was awarded the Nobel prize in literature in 1982."
18,Persuasion,Jane Austen,OL66544W,17,"The final novel completed before Austen’s death, and seen as the most mature of her works, Persuasion is a quietly devastating account of missed opportunities and repressed love. Anne Elliot, persuaded to break off her engagement to Captain Wentworth, is confronted by what might have been when he comes into her life again seven years on. Though not as immediately popular as other Austen novels, it has won devoted fans in the years since."
19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,OL679230W,17,"Released in nine volumes, Sterne’s anarchic, experimental anti-novel is a metafictional autobiography in which the lead character isn’t born until several volumes in. This stunningly modern shaggy dog story is full of silly puns and philosophical digressions into everything from noses to nominative determinism and siege warfare. Its huge success transformed Sterne from an obscure Yorkshire clergyman into a literary celebrity."
20,Wuthering Heights,Emily Brontë,OL21177W,15,"Emerald Fennell’s maximalist, sexed-up film divided opinions on its release in February. The source text – Brontë’s only novel – was published under the pen name Ellis Bell, and was similarly polarising among its Victorian audience for its depiction of the destructive relationship of its antiheroes, Heathcliff and Cathy, and its moral ambivalence. Set on the blustery Yorkshire moors, it is considered a classic of gothic literature."
21,The Portrait of a Lady,Henry James,OL276365W,16,"Like many 19th-century novels, this first appeared in serial form before being released as a full book, with readers having to wait patiently to follow the fortunes of James’s protagonist Isabel Archer, a young American woman whose inheritance leads her into a troubled marriage. James wasn’t fully satisfied with the original version – he rewrote large portions for the 1908 “New York Edition”."
