title,author,year,subject,canonicity,note
2666,Roberto Bolaño,2004,-2,1,Sprawling novel around femicides; male-coded violence/literary world
A Bend in the River,V. S. Naipaul,1979,-1.5,-0.5,Post-colonial African setting; male narrator
A Handful of Dust,Evelyn Waugh,1934,-0.5,-1.5,Failed marriage satire; male protagonist
A Little Life,Hanya Yanagihara,2015,-1,1,All-male friend group; trauma
A Month in the Country,JL Carr,1980,-1.5,0,Postwar male restorer in Yorkshire village
A Place of Greater Safety,Hilary Mantel,1992,-1,0,French Revolution; male revolutionaries
A Portrait of the Artist as a Young Man,James Joyce,1916,-2,-2,Künstlerroman; male protagonist
A Room of One's Own,Virginia Woolf,1929,3,-2,Feminist essay on women writers
A Visit From the Goon Squad,Jennifer Egan,2010,0.5,1,Music industry ensemble; mixed gender
A Wizard of Earthsea,Ursula K. Le Guin,1968,-1,0,Coming-of-age fantasy; male protagonist
Afterlives,Abdulrazak Gurnah,2020,-1,2,East African colonial era; male leads
Alice's Adventures in Wonderland,Lewis Carroll,1865,1.5,-3,Girl protagonist in fantasy
All Our Yesterdays,Natalia Ginzburg,1952,1,-1,Italian families through WWII
All Quiet on the Western Front,Erich Maria Remarque,1929,-3,-1.5,WWI soldiers in the trenches
Americanah,Chimamanda Ngozi Adichie,2013,2,2,Nigerian woman in America; race and love
Anne of Green Gables,Lucy Maud Montgomery,1908,2.5,-2,Orphan girl growing up
Another Country,James Baldwin,1962,-1,-1,Race/sexuality in NYC; male-dominant cast
As I Lay Dying,William Faulkner,1930,-0.5,-2,Southern family burial journey
Barchester Towers,Anthony Trollope,1857,-1,-3,Clerical politics in Victorian England
Berlin Alexanderplatz,Alfred Döblin,1929,-2.5,-2,Weimar criminal underworld; male protagonist
Bring up the Bodies,Hilary Mantel,2012,-1,1,Cromwell trilogy; Tudor court intrigue
Cannery Row,John Steinbeck,1945,-1.5,-1,Male-dominated Monterey community
Cloud Atlas,David Mitchell,2004,-0.5,1,Nested narratives across time
Commonwealth,Ann Patchett,2016,1,1,Blended family across decades
Cranford,Elizabeth Gaskell,1853,3,-3,All-female village social life
Daniel Deronda,George Eliot,1876,0.5,-3,Dual protagonists; Jewish identity
Death in Venice,Thomas Mann,1912,-1.5,-2,Aging male artist's obsession
Demon Copperhead,Barbara Kingsolver,2022,-1,1,Appalachian opioid retelling of Copperfield
East of Eden,John Steinbeck,1952,-1,-1,Multi-generational California family
Fun Home,Alison Bechdel,2006,2,1,Lesbian memoir graphic novel
Germinal,Émile Zola,1885,-1,-2,French coal-miners strike; male labor
Gilead,Marilynne Robinson,2004,-1,1,Aging Iowa minister's letter to son
Gravity's Rainbow,Thomas Pynchon,1973,-2.5,-1,WWII V-2 rockets; male protagonist
Gulliver's Travels,Jonathan Swift,1726,-1,-3,Male traveler satirical voyages
Human Acts,Han Kang,2014,0,2,Gwangju massacre aftermath
Hunger,Knut Hamsun,1890,-2,-2,Starving male writer in Christiania
Kafka on the Shore,Haruki Murakami,2002,-1,1,Boy and old man parallel narrative
Lanark,Alasdair Gray,1981,-1.5,0,Glasgow fantasy/realism; male protagonist
Les Misérables,Victor Hugo,1862,-0.5,-3,Sprawling French historical epic
Life After Life,Kate Atkinson,2013,2,1,Woman lives multiple WWII lives
"Life, a User's Manual",Georges Perec,1978,-1,-1,Paris apartment building puzzle novel
Light Years,James Salter,1975,0,0,Disintegration of a marriage
Lives of Girls and Women,Alice Munro,1971,2.5,0,Girl coming-of-age in Ontario
Loitering With Intent,Muriel Spark,1981,2,0,Female writer in 1950s London
"Lolly Willowes, Or, the Loving Huntsman",Sylvia Townsend Warner,1926,3,-1,Spinster becomes a witch
Lonesome Dove,Larry McMurtry,1985,-3,-1,Texas cowboys cattle drive
Matrix,Lauren Groff,2021,3,1,Medieval abbess Marie de France
Maurice,E. M. Forster,1971,-2,-1,Edwardian gay love story
Nights at the Circus,Angela Carter,1984,2.5,0,Winged female aerialist
Nightwood,Djuna Barnes,1936,2,-1,Modernist lesbian Paris novel
Nora Webster,Colm Tóibín,2014,2.5,1,Widow in Irish town
Northern Lights,Philip Pullman,1995,1.5,0,Girl protagonist fantasy (His Dark Materials)
Nw,Zadie Smith,2012,1,1,Northwest London women friendship
On the Road,Jack Kerouac,1957,-2.5,-1,Beat generation male road trip
Outline,Rachel Cusk,2014,2,1,Female writer's conversations in Athens
Palm-Wine Drinkard,Amos Tutuola,1952,-1,1,Yoruba folktale-style male quest
Parade's End,Ford Madox Ford,1928,-1.5,-1.5,WWI English officer tetralogy
Paradise,Abdulrazak Gurnah,1994,-1.5,1,Boy sold in East Africa; coming-of-age
Pather Panchali,Bibhutibhushan Bandopadhyay,1929,0,1,Bengali village family; boy and sister
Piranesi,Susanna Clarke,2020,-1,1,Solitary male in labyrinthine house
Possession,A. S. Byatt,1990,1,0,Academic literary romance/quest
Praiseworthy,Alexis Wright,2023,-0.5,2,Aboriginal Australian sprawling epic
Riddley Walker,Russell Hoban,1980,-1.5,0,Post-apocalyptic boy narrator
Slaughterhouse-Five,Kurt Vonnegut,1969,-2,-1,WWII Dresden firebombing; male protagonist
Small Island,Andrea Levy,2004,1,1,Jamaican migration to postwar Britain
Small Things Like These,Claire Keegan,2021,-0.5,1,Irish coal-merchant and Magdalene laundry
Sons and Lovers,D. H. Lawrence,1913,-1,-2,Oedipal male coming-of-age
Station Eleven,Emily St. John Mandel,2014,1.5,1,Post-pandemic Shakespeare troupe
Suite Française,Irène Némirovsky,2004,1,0,French civilians under occupation
Sula,Toni Morrison,1973,2.5,0,Female friendship in Black Ohio town
Tess of the D'urbervilles,Thomas Hardy,1891,2.5,-3,Tragic young woman seduced/ruined
The Adventures of Augie March,Saul Bellow,1953,-2,-1,Jewish-American picaresque; male
The Ambassadors,Henry James,1903,-1,-2,Older male in Paris on a mission
The Beginning of Spring,Penelope Fitzgerald,1988,-0.5,0,English printer in pre-Rev Moscow
The Bell Jar,Sylvia Plath,1963,3,-1,Young woman's breakdown
The Big Sleep,Raymond Chandler,1939,-2.5,-1,Hard-boiled male detective
The Bone People,Keri Hulme,1984,1,0,Maori woman/boy/man triad
The Book of Daniel,E. L. Doctorow,1971,-1.5,-1,Rosenberg-inspired male narrator
The Corrections,Jonathan Franzen,2001,0,1,Midwestern family ensemble
The Count of Monte Cristo,Alexandre Dumas,1844,-2,-3,Male revenge adventure epic
The Dirty Dust,Máirtín Ó Cadhain,1949,0,0,Irish-language dead in a graveyard
The English Patient,Michael Ondaatje,1992,0,0,WWII Italian villa quartet
The Enigma of Arrival,V. S. Naipaul,1987,-2,0,Autofictional male in Wiltshire
The Heart Is a Lonely Hunter,Carson McCullers,1940,0.5,-1,Mute man and Southern townspeople
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,-1.5,0,Comic SF male protagonist
The Makioka Sisters,Jun'ichirō Tanizaki,1948,3,-1.5,Four Osaka sisters
The Memory Police,Yoko Ogawa,1994,1,1,Female narrator in dystopian island
The Millstone,Margaret Drabble,1965,3,0,Single mother academic
The Outsider,Albert Camus,1942,-2,-1.5,Existentialist Algerian male
The Piano Teacher,Elfriede Jelinek,1983,2,0,Female professor's masochism
The Picture of Dorian Gray,Oscar Wilde,1890,-1.5,-2,Decadent male vanity
The Pilgrim's Progress,John Bunyan,1678,-1.5,-3,Christian male allegorical journey
The Plague,Albert Camus,1947,-1.5,-1.5,Algerian plague; male doctor/ensemble
The Power and the Glory,Graham Greene,1940,-1.5,-1,Whiskey priest in Mexico
The Radetzky March,Joseph Roth,1932,-2.5,-2,Habsburg empire male dynasty
The Safekeep,Yael van der Wouden,2024,2,2,Dutch postwar lesbian historical
The Scarlet Letter,Nathaniel Hawthorne,1850,3,-3,Puritan adultery; female protagonist
The Secret History,Donna Tartt,1992,-1,0,Vermont classics students murder
The Sellout,Paul Beatty,2015,-1.5,1,Satirical Black male narrator
The Stranger,Albert Camus,1942,-2,-1.5,Same as L'Étranger
The Sun Also Rises,Ernest Hemingway,1926,-2,-1.5,Lost generation male expats
The Tartar Steppe,Dino Buzzati,1940,-2.5,-1,Male officer at frontier fort
The Third Policeman,Flann O'Brien,1967,-2,-1,Irish surreal male narrator
The Tin Drum,Günter Grass,1959,-1.5,-1.5,Boy refusing to grow; postwar Germany
Waiting for the Barbarians,J. M. Coetzee,1980,-1,0,Male magistrate at colonial frontier
We Have Always Lived in the Castle,Shirley Jackson,1962,3,-1,Two reclusive sisters
Who Will Run the Frog Hospital?,Lorrie Moore,1994,2.5,1,Two teenage girls' friendship
Wise Children,Angela Carter,1991,3,0,Twin showgirl half-sisters
A Boy's Own Story,Edmund White,1982,-2,0,Coming-of-age gay novel
A Compass Error,Sybille Bedford,1968,1.5,0,Female sequel to A Favourite of the Gods
A Far Cry From Kensington,Muriel Spark,1988,2,0,Female publisher in 1950s London
A Flag for Sunrise,Robert Stone,1981,-2,-1,Central American political thriller
