voter,gender,confidence,evidence
Adam Roberts,M,high,British SF novelist & professor at Royal Holloway
Adam Thirlwell,M,high,British novelist
Ahdaf Soueif,F,high,Egyptian-British novelist (The Map of Love)
Aida Edemariam,F,high,Ethiopian-Canadian Guardian journalist
Alain Mabanckou,M,high,Congolese-French novelist
Alberto Manguel,M,high,Argentine-Canadian writer
Alex Clark,F,high,British literary critic and broadcaster
Alex Needham,M,high,Guardian arts editor
Alexandra Harris,F,high,British literary scholar (Romantic Moderns)
Ali Smith,F,high,Scottish novelist
Amanda Craig,F,high,British novelist and critic
Amit Chaudhuri,M,high,Indian-British novelist
Andrew Solomon,M,high,American writer (Far From the Tree)
Anne Enright,F,high,Irish novelist (Booker winner)
Arifa Akbar,F,high,Guardian theatre editor; British literary journalist
Beejay Silcox,F,medium,Australian critic
Ben Markovits,M,high,American-British novelist
Ben Okri,M,high,Nigerian-British novelist (Booker winner)
Benjamin Myers,M,high,British novelist
Bernardine Evaristo,F,high,British novelist (Booker winner)
Blake Morrison,M,high,British poet and memoirist
Candice Carty Williams,F,high,British novelist (Queenie)
Catherine Taylor,F,medium,British literary critic
Charlotte Higgins,F,high,Guardian chief culture writer
Charlotte Mendelson,F,high,British novelist
Charlotte Northedge,F,medium,British novelist and Guardian books editor
Chigozie Obioma,M,high,Nigerian novelist
Chloe Aridjis,F,high,Mexican-American novelist
Chris Power,M,high,British writer (Mothers)
Christobel Kent,F,medium,British crime novelist
Claire Armitstead,F,high,Guardian books editor
Claire Messud,F,high,American novelist
Clare Clark,F,medium,British historical novelist
Colm Tóibín,M,high,Irish novelist
Colum McCann,M,high,Irish-American novelist
Daisy Johnson,F,high,British novelist (Everything Under)
Damian Barr,M,high,Scottish writer and broadcaster
Daniel Kehlmann,M,high,German-Austrian novelist
David Diop,M,high,French-Senegalese novelist (At Night All Blood Is Black)
David Nicholls,M,high,British novelist (One Day)
David Shariatmadari,M,medium,Guardian journalist
Derek Owusu,M,high,British writer (That Reminds Me)
Diana Evans,F,high,British novelist
Dinah Birch,F,high,British literary scholar
Doireann Ní Ghríofa,F,high,Irish poet
Dorian Lynskey,M,medium,British music & culture journalist
Douglas Stuart,M,high,Scottish-American novelist (Shuggie Bain)
Eimear McBride,F,high,Irish novelist
Elif Batuman,F,high,American novelist (The Idiot)
Elif Shafak,F,high,Turkish-British novelist
Elizabeth Day,F,high,British novelist and broadcaster (How To Fail)
Ella Creamer,F,medium,Guardian books reporter
Emma Loffhagen,F,medium,British Guardian journalist
Esi Edugyan,F,high,Canadian novelist (Washington Black)
Fiona Sampson,F,high,British poet and critic
Fiona Sturges,F,medium,British literary critic
Florence Knapp,F,high,British novelist (The Names)
Freya Johnston,F,medium,British literary scholar at Oxford
Geoff Dyer,M,high,British writer
Guy Gunaratne,NB,high,British novelist; non-binary (he/they)
Hermione Lee,F,high,British biographer and critic
Houman Barekat,M,medium,British literary critic
Ian McEwan,M,high,British novelist
Ian Patterson,M,high,British poet and translator
Ian Rankin,M,high,Scottish crime novelist (Rebus)
Imogen Russell Williams,F,medium,British children's-books critic for the Guardian
Jack Edwards,M,high,British BookTuber and writer
Jacqueline Rose,F,high,British literary scholar and feminist
James Meek,M,high,British novelist and journalist
Jan Carson,F,high,Northern Irish novelist
Jeet Thayil,M,high,Indian poet and novelist (Narcopolis)
Jem Calder,M,medium,British novelist
Jennifer Egan,F,high,American novelist (A Visit from the Goon Squad)
Jo Hamya,F,high,British novelist
Joanne Harris,F,high,British novelist (Chocolat)
Joe Dunthorne,M,high,British novelist (Submarine)
John Boyne,M,high,Irish novelist
John Lanchester,M,high,British novelist and journalist
John Mullan,M,high,British literary scholar
John Self,M,medium,Northern Irish literary critic
Jon Day,M,high,British writer (Cyclogeography)
Joshua Cohen,M,high,American novelist (The Netanyahus)
Juan Gabriel Vasquez,M,high,Colombian novelist
Jude Cook,M,medium,British novelist and critic
Julie Myerson,F,high,British novelist
Justine Jordan,F,medium,Guardian fiction editor
Kate Mosse,F,high,British novelist (Labyrinth)
Katharine Viner,F,high,Guardian editor-in-chief
Katherine Rundell,F,high,British children's author and Oxford fellow
Kathryn Hughes,F,high,British biographer
Kevin Power,M,high,Irish novelist
Kieran Goddard,M,high,British novelist (sp. Keiran per Wikipedia)
Kit de Waal,F,high,British novelist (My Name Is Leon)
Lara Feigel,F,medium,British literary scholar
Laura Wilson,F,high,British crime novelist
Lauren Elkin,F,high,American-French writer (Flâneuse)
Liese Spencer,F,medium,British journalist and editor
Lily King,F,high,American novelist (Euphoria)
Lisa Allardice,F,medium,Guardian Review editor
Lisa Tuttle,F,high,American-British SF/horror writer
Lorrie Moore,F,high,American short-story writer
Lucas Rijneveld,M,high,Dutch novelist; he/him in English (post-2022)
Lucy Knight,F,medium,Guardian books journalist
M. John Harrison,M,high,British SF/literary novelist
Maaza Mengiste,F,high,Ethiopian-American novelist
Maggie O’Farrell,F,high,Irish novelist (Hamnet)
Marcel Theroux,M,high,British novelist and broadcaster
Mark Haddon,M,high,British novelist (Curious Incident)
Matt Haig,M,high,British novelist (The Midnight Library)
Maya Jaggi,F,high,British critic
Maya Jasanoff,F,high,American historian (Liberty's Exiles)
Mazen Maarouf,M,high,Palestinian-Icelandic writer
Meg Rosoff,F,high,American-British YA novelist
Melissa Broder,F,high,American poet and novelist
Melissa Harrison,F,high,British nature writer and novelist
Merve Emre,F,high,Turkish-American critic
Michael Chabon,M,high,American novelist (Kavalier & Clay)
Michael Donkor,M,high,British novelist (Hold)
Nadifa Mohamed,F,high,Somali-British novelist
Naoise Dolan,F,high,Irish novelist (Exciting Times)
Natalie Haynes,F,high,British classicist & broadcaster (Stone Blind; Pandora's Jar)
Natasha Walter,F,high,British feminist writer
Nikesh Shukla,M,high,British novelist (The Good Immigrant)
Nina Allan,F,high,British SF/horror novelist
Nina Stibbe,F,high,British memoirist and novelist
Nussaibah Younis,F,high,"Iraqi-American writer & policy expert (Fundamentally, 2025)"
Olivia Laing,NB,high,British writer; non-binary (they/them per Wikipedia)
Parinoush Saniee,F,high,Iranian novelist (The Book of Fate)
PD Smith,M,medium,British writer and critic (Doomsday Men)
Philippe Sands,M,high,British international lawyer and writer (East West Street)
Pratinav Anil,M,high,Indian historian
Rachel Kushner,F,high,American novelist
Rebecca Liu,F,medium,Guardian journalist
RF Kuang,F,high,"American novelist (Babel, Yellowface)"
Richard Osman,M,high,British TV host and novelist
Rishi Dastidar,M,medium,British poet
Roxane Gay,F,high,American writer (Bad Feminist)
Saba Sams,F,high,British short-story writer
Salman Rushdie,M,high,British-Indian novelist
Sam Leith,M,high,British literary editor (Spectator)
Samantha Ellis,F,high,British playwright and writer
Samantha Harvey,F,high,British novelist (Orbital — 2024 Booker)
Sandra Newman,F,medium,"American novelist (Julia, The Heavens); flagged as possibly NB"
Sara Collins,F,high,British novelist (Frannie Langton)
Sarah Bakewell,F,high,British biographer (How to Live)
Sarah Churchwell,F,high,American-British literary scholar
Sarah Crown,F,medium,Guardian books editor (Arts Council England)
Sarah Moss,F,high,British novelist
Sarah Waters,F,high,Welsh novelist (Fingersmith)
Sayaka Murata,F,high,Japanese novelist (Convenience Store Woman)
Shahidha Bari,F,high,British critic and broadcaster
Sian Cain,F,medium,Guardian books editor
Sinéad Gleeson,F,high,Irish writer (Constellations)
Siri Hustvedt,F,high,American novelist
Sophie Mackintosh,F,high,British novelist (The Water Cure)
Stephen King,M,high,American novelist
Steven Poole,M,high,British critic and author
Stuart Kelly,M,high,Scottish literary critic
Sukhdev Sandhu,M,medium,British critic
Susanna Rustin,F,medium,Guardian writer
Tahmima Anam,F,high,Bangladeshi-British novelist
Tanjll Rashid,M,high,British literary critic (sp. Tanjil Rashid)
Tessa Hadley,F,high,British novelist
Tom Crewe,M,high,British novelist (The New Life)
Uzma Aslam Khan,F,high,Pakistani-American novelist
Valeria Luiselli,F,high,Mexican novelist (Lost Children Archive)
William Boyd,M,high,Scottish novelist
Xan Brooks,M,medium,British journalist (Guardian)
Yael van der Wouden,F,high,Dutch-Israeli novelist (The Safekeep)
Yagnishsing Dawoor,M,medium,Mauritian-born writer and critic
Yan Lianke,M,high,Chinese novelist
Yiyun Li,F,high,Chinese-American novelist
