rank,title,handcoded_score,protagonist_gender,setting,violence,rationale
1,Middlemarch,1,mixed,mixed,none,"Provincial ensemble; Dorothea-centric marriage plot + male political/medical sphere"
2,Beloved,2,F,domestic,high,"Sethe/motherhood and slavery's violence at the center"
3,Ulysses,-1,M,public,none,"Bloom & Dedalus across Dublin's male public spaces"
4,To the Lighthouse,3,F,domestic,none,"Mrs Ramsay; marriage; family; entirely domestic interior"
5,In Search of Lost Time,0,M,mixed,none,"Male narrator; salons and aesthetic life; both worlds"
6,Anna Karenina,1.5,mixed,mixed,some,"Anna's marriage tragedy + Levin's farm life are structurally equal halves"
7,War and Peace,-2,mixed,public,high,"Napoleonic wars centre even with family ensemble"
8,Jane Eyre,2.5,F,domestic,some,"F bildungsroman + governess + marriage, but Rochester / Bertha are major"
9,Pride and Prejudice,3,F,domestic,none,"Marriage plot; Bennet sisters; drawing-room comedy"
10,Madame Bovary,2,F,mixed,none,"Emma's affairs; provincial marriage; female interiority"
11,The Great Gatsby,-1,M,public,some,"Male narrator and tycoon; parties; money; cars"
12,Bleak House,0,mixed,mixed,some,"Esther narrates half; Chancery and London ensemble"
13,Emma,3,F,domestic,none,"Matchmaking heroine; village marriage plot"
14,Mrs Dalloway,2,F,mixed,some,"Clarissa's party; Septimus's shell shock subplot"
15,Moby-Dick,-3,M,public,high,"All-male whaling crew; obsession; sea"
16,Nineteen Eighty-Four,-2,M,public,high,"Winston in surveillance state; torture; political"
17,One Hundred Years of Solitude,0,mixed,mixed,some,"Buendía multi-generational saga with both sexes"
18,Persuasion,3,F,domestic,none,"Anne Elliot's second-chance romance"
19,"The Life and Opinions of Tristram Shandy, Gentleman",-1,M,mixed,none,"Male narrator; eccentric digressions; military uncle"
20,Wuthering Heights,1,mixed,domestic,some,"Catherine/Heathcliff doomed gothic romance"
21,The Portrait of a Lady,2,F,domestic,none,"Isabel Archer's marriage in expatriate society"
22,Things Fall Apart,-2,M,public,high,"Okonkwo; warrior masculinity; colonial violence"
23,Midnight's Children,-1,M,public,some,"Saleem narrates Indian partition history"
