title,author,year,subject,canonicity,note
"The Mirror and the Light","Hilary Mantel",2020,-0.5,1,"Cromwell trilogy finale; same coding as Wolf Hall"
"The Blue Flower","Penelope Fitzgerald",1995,0,0,"Novalis biographical fiction; late 20th c. literary"
"The Tale of Genji","Murasaki Shikibu",1010,2,-2,"Heian Japanese court romance; ancient global canon, female author"
"The Summer Book","Tove Jansson",1972,2.5,0,"Finnish grandmother & granddaughter on a Gulf of Finland island"
"Infinite Jest","David Foster Wallace",1996,-1,0,"Tennis academy + rehab; late 20th c. American postmodernist"
"Septology","Jon Fosse",2019,-1,1,"Norwegian Nobel-winner; aging painter contemplates life"
"Light in August","William Faulkner",1932,-1,-2,"Southern Gothic; Joe Christmas; modernist canon"
"To Kill a Mockingbird","Harper Lee",1960,1,-1,"Scout narrates Atticus & racism in 1930s Alabama"
"Herzog","Saul Bellow",1964,-2,-1,"Moses Herzog's letters; male mid-life intellectual crisis"
"A Dance to the Music of Time","Anthony Powell",1951,-1,-1,"12-volume English upper-class panorama, narrator Nick Jenkins"
"Huckleberry Finn","Mark Twain",1884,-2,-3,"Huck & Jim down the Mississippi; American 19th-c. canon"
"The Grapes of Wrath","John Steinbeck",1939,-1,-2,"Joad family Dust Bowl migration; American social-realist"
"The Lord of the Rings","J.R.R. Tolkien",1954,-3,-1,"Fellowship quest; mostly-male epic fantasy"
"Love in the Time of Cholera","Gabriel García Márquez",1985,2,0,"Florentino's 50-year unrequited love for Fermina"
"How to Be Both","Ali Smith",2014,2,1,"Dual narrative: contemporary teen George + Renaissance painter Francesco"
"Underworld","Don DeLillo",1997,-2,0,"Cold War America via a baseball; male historical panorama"
"The House of Mirth","Edith Wharton",1905,2.5,-2,"Lily Bart navigates NY high society's marriage market"
"Sense and Sensibility","Jane Austen",1811,3,-3,"Dashwood sisters; marriage plot; Regency canon"
"The Catcher in the Rye","J. D. Salinger",1951,-1,-1,"Holden Caulfield's NYC weekend; mid-century American"
"Drive Your Plow Over the Bones of the Dead","Olga Tokarczuk",2009,1.5,1,"Polish woman in remote village; hunters killed by their prey"
"The Death of the Heart","Elizabeth Bowen",1938,2.5,-1,"16-year-old orphan Portia in interwar London household"
"Villette","Charlotte Brontë",1853,2.5,-3,"Lucy Snowe teaches in Belgium; introspective female bildungsroman"
"The Years","Annie Ernaux",2008,2,1,"Auto-sociology of post-war France through one woman's life; Nobel"
"Money","Martin Amis",1984,-2,-1,"John Self's consumerist excess across London & New York"
"The Name of the Rose","Umberto Eco",1980,-2,-1,"Medieval monastery murder mystery; all-male monastic milieu"
"American Pastoral","Philip Roth",1997,-1,-1,"Swede Levov's daughter as bomber; American Trilogy centerpiece"
